date, timestamp, heart_rate, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha1, artifacts_removed, steps, latitude, longitude
2021-12-05 22:56:11 +0000, 00:02:00, 68.630255, 874.250000, 82.718914, 28.187238, 4.040404, 0.131762, 0.064867, 2.031282,1.617523, 25.000000, 0.000000, 0.000000, 0.000000
2021-12-05 22:58:11 +0000, 00:04:00, 66.919126, 896.604651, 40.678543, 20.005708, 0.781250, 0.026647, 0.031657, 0.841761,1.292387, 4.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:00:11 +0000, 00:06:00, 70.033113, 856.737589, 31.306974, 13.723896, 0.000000, 0.021319, 0.017475, 1.219936,1.429147, 0.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:02:11 +0000, 00:08:00, 67.670304, 886.651852, 22.121731, 14.617684, 0.000000, 0.026166, 0.013345, 1.960764,1.143612, 0.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:04:11 +0000, 00:10:00, 63.708113, 941.795276, 45.350971, 18.803404, 0.000000, 0.041399, 0.030537, 1.355715,1.290865, 0.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:06:11 +0000, 00:12:00, 62.915951, 953.653226, 41.550675, 20.529667, 0.000000, 0.039805, 0.036179, 1.100243,1.101613, 2.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:08:11 +0000, 00:14:00, 62.456263, 960.672269, 31.801636, 23.397896, 0.847458, 0.045059, 0.024215, 1.860791,1.083095, 7.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:10:11 +0000, 00:16:00, 62.341831, 962.435644, 33.353104, 32.767161, 4.000000, 0.053448, 0.056399, 0.947676,0.968664, 25.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:12:11 +0000, 00:18:00, 61.398662, 977.220000, 50.600351, 33.330901, 7.070707, 0.070783, 0.064478, 1.097771,1.240079, 28.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:14:11 +0000, 00:20:00, 61.831766, 970.375000, 54.210450, 41.056035, 9.708738, 0.079517, 0.039730, 2.001438,0.980321, 28.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:16:11 +0000, 00:22:00, 62.256188, 963.759615, 51.704962, 37.108743, 8.737864, 0.086941, 0.058178, 1.494385,1.371566, 30.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:18:11 +0000, 00:24:00, 62.331906, 962.588889, 44.932928, 40.010084, 8.988764, 0.135111, 0.088780, 1.521860,1.149847, 44.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:20:11 +0000, 00:26:00, 62.218916, 964.336957, 55.029736, 42.517839, 10.989011, 0.113716, 0.096836, 1.174321,1.148195, 41.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:22:11 +0000, 00:28:00, 62.273343, 963.494118, 44.834576, 35.758224, 3.571429, 0.127454, 0.096860, 1.315867,1.211271, 37.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:24:11 +0000, 00:30:00, 61.400747, 977.186813, 60.361708, 48.180723, 12.222222, 0.124051, 0.086295, 1.437526,1.376887, 42.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:26:11 +0000, 00:32:00, 61.749353, 971.670103, 53.108940, 47.166558, 8.333333, 0.113045, 0.085115, 1.328138,0.857693, 35.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:28:11 +0000, 00:34:00, 62.130560, 965.708333, 48.364969, 42.235157, 9.473684, 0.093905, 0.066817, 1.405397,1.002290, 36.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:30:11 +0000, 00:36:00, 62.052808, 966.918367, 44.205198, 37.638494, 6.185567, 0.082519, 0.064940, 1.270687,1.180168, 33.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:32:11 +0000, 00:38:00, 62.365123, 962.076190, 57.329265, 34.620270, 6.730769, 0.089921, 0.054611, 1.646565,1.617653, 26.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:34:11 +0000, 00:40:00, 62.734267, 956.415094, 53.447149, 32.007812, 5.714286, 0.085751, 0.060241, 1.423457,1.438634, 25.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:36:11 +0000, 00:42:00, 62.663185, 957.500000, 51.014608, 32.608041, 6.796117, 0.077700, 0.054056, 1.437381,1.264560, 28.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:38:11 +0000, 00:44:00, 61.462404, 976.206522, 46.211311, 37.530136, 9.890110, 0.123329, 0.056429, 2.185562,1.197578, 39.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:40:11 +0000, 00:46:00, 65.531940, 915.584071, 122.411490, 35.479978, 4.464286, 0.076669, 0.049314, 1.554703,1.739174, 22.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:42:11 +0000, 00:48:00, 61.633622, 973.494624, 66.254962, 48.154057, 11.956522, 0.152645, 0.095855, 1.592458,1.186783, 38.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:44:11 +0000, 00:50:00, 69.594035, 862.142857, 112.930799, 77.534527, 13.043478, 0.136377, 0.125731, 1.084674,1.320481, 55.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:46:11 +0000, 00:52:00, 60.055436, 999.076923, 51.391080, 41.409845, 6.666667, 0.101265, 0.076038, 1.331772,1.231426, 32.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:48:11 +0000, 00:54:00, 60.067736, 998.872340, 53.470111, 43.928672, 7.526882, 0.135658, 0.109846, 1.234983,1.073040, 34.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:50:11 +0000, 00:56:00, 58.003209, 1034.425532, 57.974784, 44.440116, 10.752688, 0.108452, 0.066640, 1.627430,1.296128, 28.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:52:11 +0000, 00:58:00, 57.208124, 1048.802083, 62.796126, 41.638643, 12.631579, 0.072770, 0.053708, 1.354914,1.411011, 24.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:54:11 +0000, 01:00:00, 56.261873, 1066.441558, 52.461855, 47.978745, 17.105263, 0.116439, 0.085432, 1.362937,1.032338, 45.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:56:11 +0000, 01:02:00, 56.506604, 1061.822785, 66.900309, 52.450967, 11.538462, 0.143917, 0.107131, 1.343370,1.062837, 43.000000, 0.000000, 0.000000, 0.000000
2021-12-05 23:58:11 +0000, 01:04:00, 56.469433, 1062.521739, 66.356136, 58.849923, 20.588235, 0.123535, 0.125627, 0.983346,0.972832, 53.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:00:11 +0000, 01:06:00, 56.646688, 1059.196970, 64.597822, 63.301733, 24.615385, 0.172572, 0.146218, 1.180241,0.922966, 63.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:02:11 +0000, 01:08:00, 56.807837, 1056.192308, 66.242974, 50.355316, 11.688312, 0.177027, 0.111556, 1.586884,1.237150, 43.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:04:11 +0000, 01:10:00, 56.641535, 1059.293333, 80.254870, 75.945096, 22.972973, 0.199950, 0.136675, 1.462962,1.124064, 54.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:06:11 +0000, 01:12:00, 56.465606, 1062.593750, 81.588137, 85.105911, 23.809524, 0.197761, 0.185448, 1.066396,0.951408, 65.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:08:11 +0000, 01:14:00, 55.404060, 1082.953125, 81.362558, 77.259199, 30.158730, 0.194572, 0.202668, 0.960052,1.001430, 61.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:10:11 +0000, 01:16:00, 56.407501, 1063.688312, 86.918062, 67.116714, 17.105263, 0.156002, 0.101649, 1.534708,1.215518, 48.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:12:11 +0000, 01:18:00, 56.878777, 1054.875000, 76.243842, 66.294365, 21.126761, 0.173855, 0.128852, 1.349266,1.447924, 54.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:14:11 +0000, 01:20:00, 58.827709, 1019.927536, 100.275508, 82.414134, 22.058824, 0.232916, 0.136690, 1.703970,1.352296, 53.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:16:11 +0000, 01:22:00, 58.159259, 1031.650000, 111.754494, 63.618746, 13.559322, 0.034175, 0.023251, 1.469848,1.528738, 48.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:18:11 +0000, 01:24:00, 58.640077, 1023.191011, 61.165055, 44.342580, 9.090909, 0.194658, 0.098089, 1.984498,1.094699, 32.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:20:11 +0000, 01:26:00, 61.634433, 973.481818, 51.834820, 31.297704, 3.669725, 0.073230, 0.046854, 1.562939,1.279686, 17.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:22:11 +0000, 01:28:00, 60.942579, 984.533333, 47.955747, 27.866011, 2.884615, 0.089439, 0.044794, 1.996687,1.220923, 20.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:24:11 +0000, 01:30:00, 60.836772, 986.245614, 63.535598, 32.866749, 2.654867, 0.037802, 0.027324, 1.383483,1.251230, 10.000000, 0.000000, 0.000000, 0.000000
2021-12-06 00:26:11 +0000, 01:32:00, 58.936165, 1018.050633, 140.692588, 59.287326, 12.820513, 0.095504, 0.117313, 0.814100,0.983276, 45.000000, 0.000000, 0.000000, 0.000000
