"Time","my_snoring.mean"
2021-12-03 22:30:00,
2021-12-03 22:30:05,
2021-12-03 22:30:10,
2021-12-03 22:30:15,
2021-12-03 22:30:20,
2021-12-03 22:30:25,
2021-12-03 22:30:30,
2021-12-03 22:30:35,
2021-12-03 22:30:40,
2021-12-03 22:30:45,
2021-12-03 22:30:50,
2021-12-03 22:30:55,
2021-12-03 22:31:00,
2021-12-03 22:31:05,
2021-12-03 22:31:10,
2021-12-03 22:31:15,
2021-12-03 22:31:20,
2021-12-03 22:31:25,
2021-12-03 22:31:30,
2021-12-03 22:31:35,
2021-12-03 22:31:40,
2021-12-03 22:31:45,
2021-12-03 22:31:50,
2021-12-03 22:31:55,
2021-12-03 22:32:00,
2021-12-03 22:32:05,
2021-12-03 22:32:10,
2021-12-03 22:32:15,
2021-12-03 22:32:20,
2021-12-03 22:32:25,
2021-12-03 22:32:30,
2021-12-03 22:32:35,
2021-12-03 22:32:40,
2021-12-03 22:32:45,
2021-12-03 22:32:50,
2021-12-03 22:32:55,
2021-12-03 22:33:00,
2021-12-03 22:33:05,
2021-12-03 22:33:10,
2021-12-03 22:33:15,
2021-12-03 22:33:20,
2021-12-03 22:33:25,
2021-12-03 22:33:30,
2021-12-03 22:33:35,
2021-12-03 22:33:40,
2021-12-03 22:33:45,
2021-12-03 22:33:50,0.0659
2021-12-03 22:33:55,0.0659
2021-12-03 22:34:00,0.0656
2021-12-03 22:34:05,0.0653
2021-12-03 22:34:10,0.0661
2021-12-03 22:34:15,0.0656
2021-12-03 22:34:20,0.0658
2021-12-03 22:34:25,0.0659
2021-12-03 22:34:30,0.0661
2021-12-03 22:34:35,0.0657
2021-12-03 22:34:40,0.0648
2021-12-03 22:34:45,0.0641
2021-12-03 22:34:50,0.0643
2021-12-03 22:34:55,0.0646
2021-12-03 22:35:00,0.0645
2021-12-03 22:35:05,0.0656
2021-12-03 22:35:10,0.0657
2021-12-03 22:35:15,0.0646
2021-12-03 22:35:20,0.0654
2021-12-03 22:35:25,0.0661
2021-12-03 22:35:30,0.0644
2021-12-03 22:35:35,0.0649
2021-12-03 22:35:40,0.0647
2021-12-03 22:35:45,0.0660
2021-12-03 22:35:50,0.0653
2021-12-03 22:35:55,0.0660
2021-12-03 22:36:00,0.0657
2021-12-03 22:36:05,0.0659
2021-12-03 22:36:10,0.0658
2021-12-03 22:36:15,0.0656
2021-12-03 22:36:20,0.0649
2021-12-03 22:36:25,0.0648
2021-12-03 22:36:30,0.0660
2021-12-03 22:36:35,0.0657
2021-12-03 22:36:40,0.0657
2021-12-03 22:36:45,0.0658
2021-12-03 22:36:50,0.0661
2021-12-03 22:36:55,0.0656
2021-12-03 22:37:00,0.0651
2021-12-03 22:37:05,0.0651
2021-12-03 22:37:10,0.0654
2021-12-03 22:37:15,0.0652
2021-12-03 22:37:20,0.0638
2021-12-03 22:37:25,0.0659
2021-12-03 22:37:30,0.0657
2021-12-03 22:37:35,0.0658
2021-12-03 22:37:40,0.0653
2021-12-03 22:37:45,0.0653
2021-12-03 22:37:50,0.0664
2021-12-03 22:37:55,0.0644
2021-12-03 22:38:00,0.0654
2021-12-03 22:38:05,0.0646
2021-12-03 22:38:10,0.0654
2021-12-03 22:38:15,0.0643
2021-12-03 22:38:20,0.0646
2021-12-03 22:38:25,0.0654
2021-12-03 22:38:30,0.0651
2021-12-03 22:38:35,0.0645
2021-12-03 22:38:40,0.0659
2021-12-03 22:38:45,0.0656
2021-12-03 22:38:50,0.0689
2021-12-03 22:38:55,0.0647
2021-12-03 22:39:00,0.0647
2021-12-03 22:39:05,0.0648
2021-12-03 22:39:10,0.0653
2021-12-03 22:39:15,0.0644
2021-12-03 22:39:20,0.0654
2021-12-03 22:39:25,0.0655
2021-12-03 22:39:30,0.0657
2021-12-03 22:39:35,0.0651
2021-12-03 22:39:40,0.0654
2021-12-03 22:39:45,0.0650
2021-12-03 22:39:50,0.0659
2021-12-03 22:39:55,0.0657
2021-12-03 22:40:00,0.0657
2021-12-03 22:40:05,0.0660
2021-12-03 22:40:10,0.0659
2021-12-03 22:40:15,0.0656
2021-12-03 22:40:20,0.0659
2021-12-03 22:40:25,0.0659
2021-12-03 22:40:30,0.0654
2021-12-03 22:40:35,0.0654
2021-12-03 22:40:40,0.0648
2021-12-03 22:40:45,0.0641
2021-12-03 22:40:50,0.0641
2021-12-03 22:40:55,0.0639
2021-12-03 22:41:00,0.0633
2021-12-03 22:41:05,0.0658
2021-12-03 22:41:10,0.0654
2021-12-03 22:41:15,0.0643
2021-12-03 22:41:20,0.0636
2021-12-03 22:41:25,0.0630
2021-12-03 22:41:30,0.0637
2021-12-03 22:41:35,0.0634
2021-12-03 22:41:40,0.0652
2021-12-03 22:41:45,0.0640
2021-12-03 22:41:50,0.0645
2021-12-03 22:41:55,0.0649
2021-12-03 22:42:00,0.0658
2021-12-03 22:42:05,0.0650
2021-12-03 22:42:10,0.0649
2021-12-03 22:42:15,0.0656
2021-12-03 22:42:20,0.0649
2021-12-03 22:42:25,0.0654
2021-12-03 22:42:30,0.0649
2021-12-03 22:42:35,0.0643
2021-12-03 22:42:40,0.0645
2021-12-03 22:42:45,0.0647
2021-12-03 22:42:50,0.0656
2021-12-03 22:42:55,0.0657
2021-12-03 22:43:00,0.0637
2021-12-03 22:43:05,0.0649
2021-12-03 22:43:10,0.0660
2021-12-03 22:43:15,0.0654
2021-12-03 22:43:20,0.0654
2021-12-03 22:43:25,0.0656
2021-12-03 22:43:30,0.0642
2021-12-03 22:43:35,0.0662
2021-12-03 22:43:40,0.0654
2021-12-03 22:43:45,0.0655
2021-12-03 22:43:50,0.0650
2021-12-03 22:43:55,0.0654
2021-12-03 22:44:00,0.0655
2021-12-03 22:44:05,0.0658
2021-12-03 22:44:10,0.0658
2021-12-03 22:44:15,0.0655
2021-12-03 22:44:20,0.0648
2021-12-03 22:44:25,0.0652
2021-12-03 22:44:30,0.0648
2021-12-03 22:44:35,0.0659
2021-12-03 22:44:40,0.0652
2021-12-03 22:44:45,0.0642
2021-12-03 22:44:50,0.0648
2021-12-03 22:44:55,0.0656
2021-12-03 22:45:00,0.0633
2021-12-03 22:45:05,0.0648
2021-12-03 22:45:10,0.0656
2021-12-03 22:45:15,0.0654
2021-12-03 22:45:20,0.0653
2021-12-03 22:45:25,0.0654
2021-12-03 22:45:30,0.0659
2021-12-03 22:45:35,0.0654
2021-12-03 22:45:40,0.0633
2021-12-03 22:45:45,0.0650
2021-12-03 22:45:50,0.0638
2021-12-03 22:45:55,0.0640
2021-12-03 22:46:00,0.0648
2021-12-03 22:46:05,0.0656
2021-12-03 22:46:10,0.0656
2021-12-03 22:46:15,0.0653
2021-12-03 22:46:20,0.0648
2021-12-03 22:46:25,0.0646
2021-12-03 22:46:30,0.0656
2021-12-03 22:46:35,0.0656
2021-12-03 22:46:40,0.0654
2021-12-03 22:46:45,0.0653
2021-12-03 22:46:50,0.0654
2021-12-03 22:46:55,0.0658
2021-12-03 22:47:00,0.0902
2021-12-03 22:47:05,0.0651
2021-12-03 22:47:10,0.0655
2021-12-03 22:47:15,0.0827
2021-12-03 22:47:20,0.0651
2021-12-03 22:47:25,0.154
2021-12-03 22:47:30,0.0925
2021-12-03 22:47:35,0.0654
2021-12-03 22:47:40,0.0653
2021-12-03 22:47:45,0.0656
2021-12-03 22:47:50,0.0651
2021-12-03 22:47:55,0.0648
2021-12-03 22:48:00,0.0741
2021-12-03 22:48:05,0.0714
2021-12-03 22:48:10,0.0655
2021-12-03 22:48:15,0.0646
2021-12-03 22:48:20,0.0657
2021-12-03 22:48:25,0.0656
2021-12-03 22:48:30,0.0647
