ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Informatieobject;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,onderwerp,subonderwerp,titel,beschrijving,bestand,bestandsgrootte,bestandslocatie,bestandsnaam,externePublicatie,externePublicatietekst,formaat,gebruiksrechten,taal,versie,vertrouwelijkheid
Overeenkomsten-Betaalgegeven;id,idExtern,idGegevensbeheerder,code,soort,begindatum,einddatum,primair,bic,iban,incassowijze,rekeninghouder,rekeningnummer,rekeningPlaats,relatie
Overeenkomsten-Betaalwijze;id,idExtern,idGegevensbeheerder,code,soort,betaalgegeven,incassomachtiging,incassomoment
Overeenkomsten-Huurovereenkomst;allOf: Overeenkomsten-Overeenkomst,afwijkendeBetaler,afwijkendeBetalerIncassowijze,bepaaldeTijd,bewakingsstatus,bijzondereDoelgroep,brutohuur,btw,huurHerzieningsdatum,maatschappelijkLabel,prolongatieInterval,prolongatieTotDatum,rekenhuur,startBrutohuur,startBrutoJaarinkomen,startLeeftijd,vervaltermijnInterval,waarborgsom,waarborgsomRente
Overeenkomsten-Koopovereenkomst;allOf: Overeenkomsten-Overeenkomst,koopsom,koopsomTotaal,kortingspercentage,oudHuurder,prijs,transportdatum,vveBijdrage
Overeenkomsten-Onderhoudsovereenkomst;allOf: Overeenkomsten-Overeenkomst,omschrijving,bouwkundigElement,cluster,collectiefObject,orders,specialismen
Overeenkomsten-Overeenkomst;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,status,begindatum,einddatum,conceptVersturingsdatum,verstuurdatum,voorlopigeEinddatum,versturenStatus,bewakingsstatus,opzegdatum,betaalwijze,contactmomenten,eenheden,eindeDetailReden,eindeReden,garanties,onderhoudsverzoeken,ontbonden,prijscomponenten,relaties,versturen,volgnummer,extra-attributen,informatieobjecten
Overeenkomsten-Prijscomponent;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,subsidieSoort,begindatum,einddatum,bedrag,btw
Overeenkomsten-Relatie;id,idExtern,idGegevensbeheerder,code,soort,rollen
Overeenkomsten-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
Overeenkomsten-Serviceovereenkomst;allOf: Overeenkomsten-Overeenkomst,bedrag,samenwerkingsverband
Referentiedata;code,naam
