ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Informatieobject;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,onderwerp,subonderwerp,titel,beschrijving,bestand,bestandsgrootte,bestandslocatie,bestandsnaam,externePublicatie,externePublicatietekst,formaat,gebruiksrechten,taal,versie,vertrouwelijkheid
Kwaliteitsmetingsresultaten-Kwaliteitsmetingsresultaat;id,idExtern,idGegevensbeheerder,code,omschrijving,datumReactie,beoordelingsSchaal,beoordelingsWaarde,kwaliteitsmetingsverzoek,resultaatReactie,toelichtingBeoordeling,extra-attributen,informatieobjecten
Kwaliteitsmetingsverzoeken-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
Kwaliteitsmetingsverzoeken-Contactgegeven;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,status,vertrouwelijkheid,voorkeur,waarde
Kwaliteitsmetingsverzoeken-Contactmoment;id,idExtern,idGegevensbeheerder,code,omschrijving,datum,kanaal,relaties,richting
Kwaliteitsmetingsverzoeken-Eenheid;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,naam,status,detailStatus,beginBouwdatum,adres,clusters,relaties
Kwaliteitsmetingsverzoeken-Gemeente;id,idExtern,idGegevensbeheerder,code,naam
Kwaliteitsmetingsverzoeken-Huurovereenkomst;allOf: Kwaliteitsmetingsverzoeken-Overeenkomst,status,opzegdatum,eindeReden,maatschappelijkLabel
Kwaliteitsmetingsverzoeken-Kwaliteitsmetingsverzoek;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,afgerondeZaak,contactmoment,eenheid,onderhoudsverzoek,overeenkomst,relaties,teEnqueterenRelatie,extra-attributen,informatieobjecten
Kwaliteitsmetingsverzoeken-NatuurlijkPersoon;allOf: Kwaliteitsmetingsverzoeken-Relatie,voornaam,initialen,aanhef,achternaam,geboortedatum,overlijdensdatum,tussenvoegsels,voorletters
Kwaliteitsmetingsverzoeken-Onderhoudsverzoek;id,idExtern,idGegevensbeheerder,code,omschrijving,onderhoudSoort,status,melddatum,relaties
Kwaliteitsmetingsverzoeken-Overeenkomst;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,begindatum,einddatum
Kwaliteitsmetingsverzoeken-Rechtspersoon;allOf: Kwaliteitsmetingsverzoeken-Relatie,naam
Kwaliteitsmetingsverzoeken-Relatie;id,idExtern,idGegevensbeheerder,code,soort,contactgegevens,rollen
Kwaliteitsmetingsverzoeken-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
Kwaliteitsmetingsverzoeken-Wijk;id,idExtern,idGegevensbeheerder,code,naam
Kwaliteitsmetingsverzoeken-Woonplaats;id,idExtern,idGegevensbeheerder,code,naam
Kwaliteitsmetingsverzoeken-Zaak;id,idExtern,idGegevensbeheerder,code,omschrijving,toelichting,begindatum,einddatum,zaaktype
Kwaliteitsmetingsverzoeken-Zaaktype;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,omschrijving
Onderzoeksopdrachten-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
Onderzoeksopdrachten-Contactgegeven;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,status,vertrouwelijkheid,voorkeur,waarde
Onderzoeksopdrachten-Onderzoeksopdracht;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,contactgegeven,kanaal,postadres,relatie,vragenlijst,extra-attributen,informatieobjecten
Onderzoeksopdrachten-Postadres;allOf: Onderzoeksopdrachten-Adres,antwoordnummer,postbusnummer,woonplaats
Onderzoeksopdrachten-Relatie;id,idExtern,idGegevensbeheerder,code,soort
Onderzoeksopdrachten-Vragenlijst;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,vragen
Onderzoeksopdrachten-VragenlijstRegel;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,opties,volgordenummer
Onderzoeksopdrachten-Woonplaats;id,idExtern,idGegevensbeheerder,code,naam
Onderzoeksresultaten-Onderzoeksresultaat;id,idExtern,idGegevensbeheerder,code,antwoorden,opdracht,extra-attributen,informatieobjecten
Onderzoeksresultaten-VragenlijstAntwoord;id,idExtern,idGegevensbeheerder,code,antwoord,toelichting,vraag,vragenlijst
Onderzoeksresultaten-VragenlijstRegel;id,idExtern,idGegevensbeheerder,code,soort,omschrijving
Referentiedata;code,naam
