AfspraakOpties-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
AfspraakOpties-AfspraakOptie;id,idExtern,idGegevensbeheerder,code,begindatum,einddatum,locatie,onderhoudsorder,onderhoudstaak,planningscore,relaties,specialisme,extra-attributen,informatieobjecten
AfspraakOpties-Eenheidadres;allOf: AfspraakOpties-Adres,geometrie,land,woonplaats
AfspraakOpties-Geometrie;id,idExtern,idGegevensbeheerder,code,soort,omschrijving
AfspraakOpties-NatuurlijkPersoon;allOf: AfspraakOpties-Relatie,aanhef,achternaam,initialen,roepnaam,tussenvoegsels,voorletters,voornaam
AfspraakOpties-Punt;allOf: AfspraakOpties-Geometrie,lengtegraad,breedtegraad
AfspraakOpties-Relatie;id,idExtern,idGegevensbeheerder,code,soort
AfspraakOpties-Woonplaats;id,idExtern,idGegevensbeheerder,code,naam
Afspraken-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
Afspraken-Afspraak;id,idExtern,idGegevensbeheerder,code,onderwerp,status,begindatum,einddatum,bloktijdBegin,bloktijdEind,adres,defecten,onderhoudsorder,onderhoudstaak,onderhoudsverzoek,relaties,extra-attributen,informatieobjecten
Afspraken-Contactgegeven;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,status,vertrouwelijkheid,voorkeur,waarde
Afspraken-Defect;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,melddatum,aangetroffenOorzaak,bouwkundigElement,cluster,collectiefObject,eenheid,inspectierapport,locatie,oorzaak,relatie
Afspraken-Eenheidadres;allOf: Afspraken-Adres,geometrie,land,woonplaats
Afspraken-Geometrie;soort
Afspraken-NatuurlijkPersoon;allOf: Afspraken-Relatie,voornaam,initialen,aanhef,achternaam,roepnaam,tussenvoegsels,voorletters
Afspraken-Punt;allOf: Afspraken-Geometrie,lengtegraad,breedtegraad
Afspraken-Relatie;id,idExtern,idGegevensbeheerder,code,soort,contactgegevens
Afspraken-Telefoonnummer;allOf: Afspraken-Contactgegeven,landnummer,netnummer,abonneenummer,dagdelen,extensie
Afspraken-Woonplaats;code,naam
BouwkundigElementen-BouwkundigElement;id,idExtern,idGegevensbeheerder,code,naam,omschrijving,garanties,relaties,extra-attributen,informatieobjecten
BouwkundigElementen-Garantie;id,idExtern,idGegevensbeheerder,code,omschrijving,begindatum,einddatum,relatie
BouwkundigElementen-Rechtspersoon;allOf: BouwkundigElementen-Relatie,globaalLocatienummer,naam,btwNummer,kvkNummer,organisatievorm,relaties
BouwkundigElementen-Relatie;id,idExtern,idGegevensbeheerder,code,soort,contactgegevens,rollen
BouwkundigElementen-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
CollectiefObjecten-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
CollectiefObjecten-Cluster;id,idExtern,idGegevensbeheerder,code,soort
CollectiefObjecten-CollectiefObject;id,idExtern,idGegevensbeheerder,code,soort,naam,adres,clusters,eenheden,relaties,extra-attributen,informatieobjecten
CollectiefObjecten-Eenheid;id,idExtern,idGegevensbeheerder,code,soort,detailSoort
CollectiefObjecten-Eenheidadres;allOf: CollectiefObjecten-Adres,land,woonplaats
CollectiefObjecten-Woonplaats;id,idExtern,idGegevensbeheerder,code,naam
ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Informatieobject;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,onderwerp,subonderwerp,titel,beschrijving,bestand,bestandsgrootte,bestandslocatie,bestandsnaam,externePublicatie,externePublicatietekst,formaat,gebruiksrechten,taal,versie,vertrouwelijkheid
Inkoopfacturen-Betaalgegeven;id,idExtern,idGegevensbeheerder,code,soort,rekeningnummer,bic,iban,incassowijze,primair,rekeninghouder,rekeningPlaats
Inkoopfacturen-BtwTarief;id,idExtern,idGegevensbeheerder,code,omschrijving,begindatum,einddatum,boekingdetails,grootboekmutaties,inkoopfactuurregels,percentage
Inkoopfacturen-Inkoopfactuur;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,factuurdatum,bedrag,betalingskenmerk,btwBedrag,crediteur,externFactuurnummer,gRekeningbedrag,inkoopfactuurregels,korting,openstaandBedrag,rekening,toelichting,toeslag,vervaldatum,extra-attributen,informatieobjecten
Inkoopfacturen-InkoopfactuurRegel;id,idExtern,idGegevensbeheerder,code,omschrijving,bedrag,btwAangiftebedrag,btwTarief,korting,toeslag
Inkoopfacturen-Prijsaanpassing;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,bedrag,percentage
Inkoopfacturen-Woonplaats;code,naam
Inspectierapporten-BouwkundigElement;id,idExtern,idGegevensbeheerder,code,naam,omschrijving,bouwdeel,garanties
Inspectierapporten-Defect;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,melddatum,aangetroffenOorzaak,bouwkundigElement,cluster,collectiefObject,eenheid,locatie,oorzaak,relaties
Inspectierapporten-Inspectierapport;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,geconstateerdeDefecten,inspectieOrder,relaties,voorgesteldeOnderhoudstaken,extra-attributen,informatieobjecten
Inspectierapporten-Onderhoudstaak;id,idExtern,idGegevensbeheerder,code,omschrijving,status,detailStatus,specialisme
Inspectierapporten-Relatie;id,idExtern,idGegevensbeheerder,code,soort,rollen
Inspectierapporten-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
Offertes-BtwTarief;id,idExtern,idGegevensbeheerder,code,omschrijving,percentage
Offertes-Offerte;id,idExtern,idGegevensbeheerder,code,omschrijving,status,begindatum,bedrag,btwBedrag,korting,offertedatum,offerteregels,relaties,toeslag,vervaldatum,extra-attributen,informatieobjecten
Offertes-Offerteregel;id,idExtern,idGegevensbeheerder,code,omschrijving,aantal,bedrag,bestedingsoort,btwTarief,korting,meeteenheid,toeslag
Offertes-Prijsaanpassing;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,bedrag,percentage
Offertes-Relatie;id,idExtern,idGegevensbeheerder,code,soort,rollen
Offertes-Relatierol;id,idExtern,idGegevensbeheerder,code,soort,naam
Onderhoudsorders-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
Onderhoudsorders-Afspraak;id,idExtern,idGegevensbeheerder,code,onderwerp,status,begindatum,einddatum,bloktijdBegin,bloktijdEind,locatie,relaties
Onderhoudsorders-Contactgegeven;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,status,vertrouwelijkheid,voorkeur,waarde
Onderhoudsorders-Defect;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,status,melddatum,aangetroffenOorzaak,bouwkundigElement,cluster,collectiefObject,eenheid,inspectierapport,locatie,oorzaak,relaties
Onderhoudsorders-Eenheidadres;allOf: Onderhoudsorders-Adres,geometrie,land,woonplaats
Onderhoudsorders-NatuurlijkPersoon;allOf: Onderhoudsorders-Relatie,voornaam,initialen,aanhef,achternaam,roepnaam,tussenvoegsels,voorletters
Onderhoudsorders-Onderhoudsbesteding;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,uitvoerdatum,uitvoerBegintijd,uitvoerEindtijd,reistijd,aantal,bedrag,meeteenheid
Onderhoudsorders-Onderhoudsorder;id,idExtern,idGegevensbeheerder,code,onderhoudSoort,onderhoudDetailSoort,omschrijving,bovenliggendeOrder,status,begindatum,einddatum,technischGereeddatum,financieelGereeddatum,uitersteGereeddatum,opdrachtdatum,afrekenwijze,afspraken,debiteur,defecten,offertes,onderhoudstaken,onderhoudsverzoeken,overeenkomst,relaties,uitvoerendeSoort,extra-attributen,informatieobjecten
