Eenheden-Adres;id,idExtern,idGegevensbeheerder,code,soort,adres,huisletter,huisnummer,huisnummerToevoeging,postcode,straatnaam
Eenheden-BuitenlandsAdres;allOf: Eenheden-Adres,land
Eenheden-Buurt;code,naam
Eenheden-Cluster;id,idExtern,idGegevensbeheerder,code,soort,naam
Eenheden-Contactgegeven;soort,detailSoort,status,vertrouwelijkheid,voorkeur,waarde
Eenheden-Eenheid;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,naam,omschrijving,kadastraalNummer,status,detailStatus,beginBouwdatum,opleverdatum,inExploitatiedatum,uitExploitatiedatum,aantalOnzelfstandigeEenheden,aanvullendeDoelgroep,adres,beoogdUitExploitatieDatum,bestemming,bouwnummer,brutohuur,buitenruimten,clusters,doelgroep,energieprestatie,energievoorzieningen,etage,inExploitatieReden,interieur,isolatie,kamersAantal,klimaatbeheersing,kwaliteitsniveau,ligging,liggingTuin,maatschappelijkLabel,monumenten,overigeVertrekkenTotaalOppervlakte,panden,prijscomponenten,prijsconditie,publicatieLabel,rekenhuur,relaties,renovatie,sanitair,situering,streefhuur,toegankelijkheidslabel,totaalInhoud,totaleOppervlakte,uitExploitatieReden,verkoop,vertrekken,vertrekkenAantal,verwarmdeVertrekkenAantal,voorwaarden,vraagprijs,woonvertrekInhoud,woonvertrekkenTotaalOppervlakte,woonvorm,zelfstandig,zorgfaciliteitOmschrijving,extra-attributen,informatieobjecten
Eenheden-EenheidVoorwaarden;maximumAantalPersonen,maximuminkomen,maximunleeftijd,minimumAantalPersonen,minimuminkomen,minimumleeftijd
Eenheden-Eenheidadres;allOf: Eenheden-Adres,geometrie,land,woonplaats
Eenheden-Energieprestatie;begindatum,einddatum,index,label
Eenheden-Gemeente;code,naam
Eenheden-Geometrie;soort
Eenheden-Pand;id,idExtern,idGegevensbeheerder,code,kavelOppervlakte,liftAanwezig,renovatie
Eenheden-Postadres;allOf: Eenheden-Adres,antwoordnummer,postbusnummer,woonplaats
Eenheden-Prijscomponent;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,bedrag,btw
Eenheden-Punt;allOf: Eenheden-Geometrie,lengtegraad,breedtegraad
