ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Huurgeschil;id,idExtern,idGegevensbeheerder,code,omschrijving,status,einddatum,acties,bedrag,contactmomenten,hoorzittingdatum,huurcomissieDossiernummer,huurovereenkomst,matigen,reden,uitspraken,extra-attributen,informatieobjecten
HuurgeschilActie;id,idExtern,idGegevensbeheerder,code,omschrijving,actiedatum,huurgeschil,relatie,extra-attributen,informatieobjecten
HuurgeschilUitspraak;id,idExtern,idGegevensbeheerder,code,soort,datum,bedrag,huurgeschil,extra-attributen,informatieobjecten
Huuropzegging;id,idExtern,idGegevensbeheerder,code,status,begindatum,einddatum,opzegdatum,huurovereenkomst,inspectieafspraken,redenOpzegging,relaties,extra-attributen,informatieobjecten
Huurovereenkomst;allOf: Overeenkomst,opzegdatum,prolongatieInterval,prolongatieTotDatum,huurHerzieningsdatum,afwijkendeBetaler,afwijkendeBetalerIncassowijze,bepaaldeTijd,brutohuur,btw,huurgeschillen,huurtoeslagen,maatschappelijkLabel,opzegtermijn,rekenhuur,startBrutohuur,startBrutoJaarinkomen,startLeeftijd,vervaltermijnInterval,waarborgsom,waarborgsomRente,extra-attributen,informatieobjecten
Huurtoeslag;id,idExtern,idGegevensbeheerder,code,huurovereenkomst,maand,jaar,bedrag,extra-attributen,informatieobjecten
Inspectie;id,idExtern,idGegevensbeheerder,code,soort,status,afspraak,overeenkomst,relaties,extra-attributen,informatieobjecten
Koopovereenkomst;allOf: Overeenkomst,koopsom,koopsomTotaal,kortingspercentage,oudHuurder,prijs,transportdatum,vveBijdrage,extra-attributen,informatieobjecten
Onderhoudsovereenkomst;allOf: Overeenkomst,omschrijving,bouwkundigElement,cluster,collectiefObject,orders,specialismen,extra-attributen,informatieobjecten
Overeenkomst;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,status,begindatum,einddatum,conceptVersturingsdatum,verstuurdatum,versturenStatus,bewakingsstatus,betaalgegeven,betaalwijze,contactmomenten,eenheden,eindeDetailReden,eindeReden,garanties,incassomoment,incassowijze,onderhoudsverzoeken,prijscomponenten,redenOntbinding,redenOpzegging,redenVernietiging,relaties,versturen,volgnummer,extra-attributen,informatieobjecten
Overeenkomstkoppeling;id,idExtern,idGegevensbeheerder,status,begindatum,einddatum,overeenkomsten,extra-attributen,informatieobjecten
Prijscomponent;id,idExtern,idGegevensbeheerder,code,naam,soort,detailSoort,subsidieSoort,begindatum,einddatum,bedrag,bedragInclusiefBtw,btw,eenheid,overeenkomst,extra-attributen,informatieobjecten
Referentiedata;id,idExtern,idGegevensbeheerder,code,soort,naam,omschrijving,parent,begindatum,einddatum,sortering
Serviceovereenkomst;allOf: Overeenkomst,bedrag,samenwerkingsverband,extra-attributen,informatieobjecten
