ExtraAttribuut;naam,waarde
Foutbericht;code,omschrijving
Project;id,idExtern,idGegevensbeheerder,code,soort,naam,bovenliggendProject,status,begindatum,einddatum,aanbestedingen,clusters,doelstelling,dossier,eenheden,fasen,percelen,regiesoort,rollen,extra-attributen,informatieobjecten
Projectbesteding;id,idExtern,idGegevensbeheerder,code,soort,omschrijving,uitvoerdatum,uitvoerBegintijd,uitvoerEindtijd,aantal,bedrag,budgetregel,meeteenheid,order,reistijd,taak,extra-attributen,informatieobjecten
Projectbudgetregel;id,idExtern,idGegevensbeheerder,code,soort,regelsoort,omschrijving,bovenliggendeBudgetregel,status,begindatum,einddatum,datumAanvraag,datumGoedkeuring,bedrag,bestedingen,btwTarief,doelstelling,fase,fasebesluit,grootboekrekening,order,extra-attributen,informatieobjecten
Projectdoelstelling;id,idExtern,idGegevensbeheerder,code,gewensteBegindatum,gewensteEinddatum,aantalGetransformeerdeEenheden,aantalTeBouwenEenheden,aantalTeRenoverenEenheden,aantalTeSlopenEenheden,aantalTeTransformerenEenheden,beleidswaarde,brutoAanvangsrendement,gemBVOPerEenheid,gemGBOPerEenheid,gemiddeldeEnergieindex,gemiddeldeHuurprijs,gemiddeldeWoningwaarderingsPunten,gemVVOPerEenheid,initieleBudgetregels,internalRateOfReturn,maatschappelijkLabel,marktwaarde,nettoAanvangsrendement,project,extra-attributen,informatieobjecten
Projectfase;id,idExtern,idGegevensbeheerder,code,soort,begindatum,einddatum,gewensteBegindatum,gewensteEinddatum,besluit,budgetregels,project,rollen,taken,volgnummer,extra-attributen,informatieobjecten
Projectfasebesluit;id,idExtern,idGegevensbeheerder,code,status,begindatum,einddatum,budgetregels,fase,extra-attributen,informatieobjecten
Projectorder;id,idExtern,idGegevensbeheerder,code,bestedingen,budgetregels,inkoopopdracht,overeenkomst,taak,extra-attributen,informatieobjecten
Projectrol;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,begindatum,einddatum,fases,project,relatie,taken,extra-attributen,informatieobjecten
Projecttaak;id,idExtern,idGegevensbeheerder,code,soort,detailSoort,omschrijving,begindatum,einddatum,gewensteBegindatum,gewensteEinddatum,bestedingen,clusters,eenheden,fase,kwaliteitsmetingen,orders,percelen,rollen,extra-attributen,informatieobjecten
Referentiedata;id,idExtern,idGegevensbeheerder,code,soort,naam,omschrijving,parent,begindatum,einddatum,sortering
