,Start_time,Stage,hr,HRV
0,2021-12-11 23:02:31+01:00,4,,
1,2021-12-11 23:07:31+01:00,2,64.0,33.0
2,2021-12-11 23:12:31+01:00,2,64.0,22.0
3,2021-12-11 23:17:31+01:00,2,62.0,34.0
4,2021-12-11 23:22:31+01:00,2,63.0,35.0
5,2021-12-11 23:27:31+01:00,2,63.0,31.0
6,2021-12-11 23:32:31+01:00,2,63.0,31.0
7,2021-12-11 23:37:31+01:00,3,63.0,31.0
8,2021-12-11 23:42:31+01:00,3,63.0,33.0
9,2021-12-11 23:47:31+01:00,2,63.0,36.0
10,2021-12-11 23:52:31+01:00,4,,
11,2021-12-11 23:57:31+01:00,2,,
12,2021-12-12 00:02:31+01:00,1,59.0,30.0
13,2021-12-12 00:07:31+01:00,2,61.0,37.0
14,2021-12-12 00:12:31+01:00,2,59.0,45.0
15,2021-12-12 00:17:31+01:00,2,57.0,41.0
16,2021-12-12 00:22:31+01:00,2,57.0,37.0
17,2021-12-12 00:27:31+01:00,2,56.0,35.0
18,2021-12-12 00:32:31+01:00,1,57.0,34.0
19,2021-12-12 00:37:31+01:00,2,,
20,2021-12-12 00:42:31+01:00,2,57.0,33.0
21,2021-12-12 00:47:31+01:00,2,57.0,33.0
22,2021-12-12 00:52:31+01:00,2,58.0,31.0
23,2021-12-12 00:57:31+01:00,3,57.0,32.0
24,2021-12-12 01:02:31+01:00,3,,
25,2021-12-12 01:07:31+01:00,3,60.0,32.0
26,2021-12-12 01:12:31+01:00,3,61.0,40.0
27,2021-12-12 01:17:31+01:00,1,,
28,2021-12-12 01:22:31+01:00,2,62.0,39.0
29,2021-12-12 01:27:31+01:00,2,61.0,33.0
30,2021-12-12 01:32:31+01:00,2,59.0,46.0
31,2021-12-12 01:37:31+01:00,1,,
32,2021-12-12 01:42:31+01:00,1,,
33,2021-12-12 01:47:31+01:00,1,,
34,2021-12-12 01:52:31+01:00,2,58.0,39.0
35,2021-12-12 01:57:31+01:00,2,55.0,33.0
36,2021-12-12 02:02:31+01:00,1,56.0,37.0
37,2021-12-12 02:07:31+01:00,2,57.0,39.0
38,2021-12-12 02:12:31+01:00,2,59.0,24.0
39,2021-12-12 02:17:31+01:00,3,61.0,17.0
40,2021-12-12 02:22:31+01:00,1,62.0,18.0
41,2021-12-12 02:27:31+01:00,1,61.0,27.0
42,2021-12-12 02:32:31+01:00,2,59.0,38.0
43,2021-12-12 02:37:31+01:00,2,58.0,27.0
44,2021-12-12 02:42:31+01:00,3,57.0,20.0
45,2021-12-12 02:47:31+01:00,2,,
46,2021-12-12 02:52:31+01:00,2,,
47,2021-12-12 02:57:31+01:00,2,,
48,2021-12-12 03:02:31+01:00,4,,
49,2021-12-12 03:07:31+01:00,4,62.0,37.0
50,2021-12-12 03:12:31+01:00,2,56.0,47.0
51,2021-12-12 03:17:31+01:00,2,56.0,39.0
52,2021-12-12 03:22:31+01:00,2,54.0,31.0
53,2021-12-12 03:27:31+01:00,4,55.0,53.0
54,2021-12-12 03:32:31+01:00,4,,
55,2021-12-12 03:37:31+01:00,4,,
56,2021-12-12 03:42:31+01:00,2,58.0,56.0
57,2021-12-12 03:47:31+01:00,2,58.0,75.0
58,2021-12-12 03:52:31+01:00,4,57.0,83.0
59,2021-12-12 03:57:31+01:00,4,,
60,2021-12-12 04:02:31+01:00,4,,
61,2021-12-12 04:07:31+01:00,4,,
62,2021-12-12 04:12:31+01:00,4,,
63,2021-12-12 04:17:31+01:00,4,,
64,2021-12-12 04:22:31+01:00,4,,
65,2021-12-12 04:27:31+01:00,4,,
66,2021-12-12 04:32:31+01:00,2,60.0,36.0
67,2021-12-12 04:37:31+01:00,2,62.0,31.0
68,2021-12-12 04:42:31+01:00,2,61.0,38.0
69,2021-12-12 04:47:31+01:00,1,60.0,35.0
70,2021-12-12 04:52:31+01:00,1,61.0,28.0
71,2021-12-12 04:57:31+01:00,1,61.0,27.0
72,2021-12-12 05:02:31+01:00,1,62.0,25.0
73,2021-12-12 05:07:31+01:00,1,62.0,25.0
74,2021-12-12 05:12:31+01:00,1,61.0,35.0
75,2021-12-12 05:17:31+01:00,2,58.0,42.0
76,2021-12-12 05:22:31+01:00,2,59.0,34.0
77,2021-12-12 05:27:31+01:00,2,58.0,38.0
78,2021-12-12 05:32:31+01:00,3,60.0,31.0
79,2021-12-12 05:37:31+01:00,3,59.0,30.0
80,2021-12-12 05:42:31+01:00,3,60.0,35.0
81,2021-12-12 05:47:31+01:00,2,59.0,49.0
82,2021-12-12 05:52:31+01:00,2,58.0,36.0
83,2021-12-12 05:57:31+01:00,3,60.0,41.0
84,2021-12-12 06:02:31+01:00,3,,
85,2021-12-12 06:07:31+01:00,3,,
86,2021-12-12 06:12:31+01:00,3,58.0,35.0
87,2021-12-12 06:17:31+01:00,3,58.0,31.0
88,2021-12-12 06:22:31+01:00,3,,
89,2021-12-12 06:27:31+01:00,3,,
90,2021-12-12 06:32:31+01:00,3,59.0,44.0
91,2021-12-12 06:37:31+01:00,3,,
92,2021-12-12 06:42:31+01:00,3,60.0,32.0
93,2021-12-12 06:47:31+01:00,3,59.0,38.0
94,2021-12-12 06:52:31+01:00,2,58.0,44.0
95,2021-12-12 06:57:31+01:00,2,56.0,34.0
96,2021-12-12 07:02:31+01:00,3,58.0,19.0
97,2021-12-12 07:07:31+01:00,2,58.0,39.0
98,2021-12-12 07:12:31+01:00,2,56.0,40.0
99,2021-12-12 07:17:31+01:00,2,57.0,52.0
100,2021-12-12 07:22:31+01:00,2,57.0,54.0
101,2021-12-12 07:27:31+01:00,2,56.0,37.0
102,2021-12-12 07:32:31+01:00,3,57.0,29.0
103,2021-12-12 07:37:31+01:00,3,58.0,36.0
104,2021-12-12 07:42:31+01:00,3,59.0,41.0
105,2021-12-12 07:47:31+01:00,3,60.0,37.0
106,2021-12-12 07:52:31+01:00,1,60.0,37.0
107,2021-12-12 07:57:31+01:00,2,58.0,45.0
108,2021-12-12 08:02:31+01:00,2,57.0,44.0
109,2021-12-12 08:07:31+01:00,2,58.0,32.0
110,2021-12-12 08:12:31+01:00,3,59.0,31.0
111,2021-12-12 08:17:31+01:00,3,58.0,38.0
112,2021-12-12 08:22:31+01:00,2,58.0,32.0
113,2021-12-12 08:27:31+01:00,2,58.0,38.0
114,2021-12-12 08:32:31+01:00,2,58.0,43.0
115,2021-12-12 08:37:31+01:00,2,59.0,40.0
116,2021-12-12 08:42:31+01:00,3,59.0,43.0
117,2021-12-12 08:47:31+01:00,3,58.0,43.0
118,2021-12-12 08:52:31+01:00,4,60.0,34.0
119,2021-12-12 08:57:31+01:00,4,63.0,28.0
